image_number,img_path,text
000000002822,000000002822_2.png,A stop sign near the highway
000000012947,000000012947_2.png,The man in stripes was leaning out of the train
000000022621,000000022621_2.png,There are many potted plants on the table
000000016961,000000016961_2.png,There are two roadblocks on the road
000000022411,000000022411_2.png,There are many books in the bookcase in the common area
1057089366,1057089366_2.png,Four people were resting on the edge of the pool
1071201387,1071201387_2.png,A man and a woman were sitting on the ground
000000056641,000000056641_2.png,A car waiting to turn at the intersection
000000005124,000000005124_2.png,There were two men watching the game near the goal
000000050956,000000050956_2.png,Men with red and blue umbrellas stood on the lawn
000000019489,000000019489_2.png,A woman on the right holds up a camera
000000065400,000000065400_2.png,There are many oranges in the box
000000021750,000000021750_2.png,There is a glass of juice on the table
000000037671,000000037671_2.png,There are two coaches off the court
000000061951,000000061951_2.png,The man in the black hat is shopping at the window
000000001306,000000001306_2.png,A television was mounted on the kitchen wall.
000000010545,000000010545_2.png,There are a lot of people in front of Starbucks
000000061897,000000061897_2.png,The builders are working on the road project
000000016038,000000016038_2.png,A boy pushes a bicycle
000000044471,000000044471_2.png,There were many pedestrians on the busy street
000000020979,000000020979_2.png,A motorcycle parked on the sidewalk.
000000045785,000000045785_2.png,There is a dog walking on the grass
000000022180,000000022180_2.png,People are sitting on sofas
000000011569,000000011569_2.png,A red bus drove off into the distance.
000000010037,000000010037_2.png,There are some oranges in the bowl
000000017882,000000017882_2.png,A row of bikes parked on the side of the road
135515207,135515207_2.png,There was a silver car parked in the courtyard
000000032060,000000032060_2.png,Several tractors were parked on the side of the road
000000049037,000000049037_2.png,There are beautiful flowers in the brightly decorated living room
000000067956,000000067956_2.png,A stop sign by two trash cans
000000007159,000000007159_2.png,There were three photographers on the ramp
000000044437,000000044437_2.png,The athlete dressed in black bowed his head and stepped forward
000000043510,000000043510_2.png,"There were four men leaning over the railing, waiting to get on"
000000014285,000000014285_2.png,"There was a small, old black TV in the room"
000000020001,000000020001_2.png,The man in dark blue is ready to bat
000000072519,000000072519_2.png,On the top of the boat was a man looking into the distance
000000014740,000000014740_2.png,The three men watched the smoke in the distance
000000018059,000000018059_2.png,There is a man taking pictures under the tree
000000002614,000000002614_2.png,The man in green is standing on the bank
000000018654,000000018654_2.png,The people in the stands wore cowboy hats
000000022275,000000022275_2.png,There is a Christmas tree in the room
000000013720,000000013720_2.png,On the table lay an egg with a bite
000000063347,000000063347_2.png,There are some magazines on the sofa
000000065601,000000065601_2.png,There are four lighters on the desk
000000005620,000000005620_2.png,Pedestrians are walking in the street.
000000013671,000000013671_2.png,The bird sits on the wire.
000000050481,000000050481_2.png,A cyclist drives on a motorway
000000046099,000000046099_2.png,The man stood next to the car
000000026260,000000026260_2.png,The woman in red is preparing food
000000047164,000000047164_2.png,A woman shops at a produce stand.
000000014388,000000014388_2.png,A man in an orange coat is waiting at the traffic light
133684581,133684581_2.png,A man was jogging in all black
000000069978,000000069978_2.png,There is a red fire hydrant by the side of the road
000000056109,000000056109_2.png,The bike was parked on the side of the road
000000048388,000000048388_2.png,A man with a stick looked into the distance
000000019447,000000019447_2.png,A young giraffe bends down to drink from a pond.
000000075775,000000075775_2.png,The child in blue was swinging a racket
000000023793,000000023793_2.png,There is a horse grazing on the far left
000000058137,000000058137_2.png,A group of people were walking on the wet sidewalk.
000000009275,000000009275_2.png,There are wine and glasses on the table
000000016616,000000016616_2.png,There's a man on the right talking on the phone
000000024305,000000024305_2.png,The wedding was decorated with white streamers
000000044911,000000044911_2.png,There is a double-door refrigerator in the kitchen
000000066460,000000066460_2.png,A city street with picture frames displayed on the sidewalk
000000057005,000000057005_2.png,There are pink flowers in the flower box below.
000000044839,000000044839_2.png,"The mother held the baby in her arms, cake in hand"
000000047742,000000047742_2.png,The men in white coats waited at the bus stop
000000019456,000000019456_2.png,Outside the glass house stood three men
000000003899,000000003899_2.png,There are many plastic bags on the kitchen table
1242394484,1242394484_2.png,There is a tiger doll at the end of the counter
000000012706,000000012706_2.png,There are some black and white umbrellas on the ground
000000016706,000000016706_2.png,The zebra lowered its head to graze
000000021786,000000021786_2.png,There are several roadblocks on the road
000000020044,000000020044_2.png,The man in the blue ski suit waves at the camera
000000047563,000000047563_2.png,A black cat sat under an umbrella in the driveway
000000046563,000000046563_2.png,A man was walking across the street toward a white SUV.
000000015644,000000015644_2.png,There's a photographer taking pictures
135436842,135436842_2.png,A lady with a black bag was walking along
000000013325,000000013325_2.png,There's a guy on the left riding an moped
000000035456,000000035456_2.png,There was a crowd of people standing next to the plant
000000032124,000000032124_2.png,The blue bike is parked on the side of the road
1281282435,1281282435_2.png,There are several people swimming in the water
000000023255,000000023255_2.png,A bird sits by the water's edge.
000000021717,000000021717_2.png,There is a balloon in the room
000000016905,000000016905_2.png,There is some painting on the elephant
000000022014,000000022014_2.png,There is a clock in the living room
000000016243,000000016243_2.png,Unwashed chocolate container
000000022287,000000022287_2.png,A zebra looks to the right
000000026438,000000026438_2.png,The men in black raised their hands in the sky than Yeah
000000021889,000000021889_2.png,A man in a safety suit walks along the edge
000000018425,000000018425_2.png,There are two cars on the road
000000067407,000000067407_2.png,A man strolls down the street
000000010211,000000010211_2.png,There were three zebras in the distance
000000060034,000000060034_2.png,Pigeons bathe in puddles in city streets.
000000007621,000000007621_2.png,Three people are on the beach
000000023405,000000023405_2.png,The child is walking on the road
000000003220,000000003220_2.png,The mascot of the baseball field
000000003493,000000003493_2.png,There was a constant stream of traffic on the street.
000000011402,000000011402_2.png,A red tour bus plowed through the traffic through the city streets
000000064048,000000064048_2.png,People ride elephants among the crops.
000000043305,000000043305_2.png,There is a baseball bat on the ground
000000025433,000000025433_2.png,There are three flags on the street
000000045084,000000045084_2.png,A woman and a child were sitting outside
000000015070,000000015070_2.png,There is a squirrel outside the window
1094283901,1094283901_2.png,On the platform stood a man in swimming trunks
000000014502,000000014502_2.png,The guy on the right is ready to catch
000000021711,000000021711_2.png,The bicycle lay on the road
1287704027,1287704027_2.png,There are shops selling cucumbers in the wet market
000000023298,000000023298_2.png,There are three children in the room
000000012673,000000012673_2.png,A black cat lay on a suitcase full of clothes
1130295306,1130295306_2.png,A boy is walking in the park
000000006226,000000006226_2.png,There are many traffic signs on the left side of the picture
000000062740,000000062740_2.png,The yellow car is ready to turn
000000022213,000000022213_2.png,The volunteers were dressed in red and green
000000055223,000000055223_2.png,There are white clothes on the coffee table
000000000109,000000000109_2.png,A man in a blue shirt is walking his dog
000000019446,000000019446_2.png,Runners 40 and 6 run forward
000000016575,000000016575_2.png,Two zebras are grazing
000000069266,000000069266_2.png,There are brand new ubuntu stickers on the desk
000000022671,000000022671_2.png,There is a stop sign on the side of the road
000000009446,000000009446_2.png,The cyclist on the right is pulling out of the frame
000000011340,000000011340_2.png,There was a man riding a bicycle on the road
000000012993,000000012993_2.png,A man in a raincoat on a bicycle.
000000046149,000000046149_2.png,A man was walking on the grass with his head down
000000047125,000000047125_2.png,There are some birds in the square
000000021528,000000021528_2.png,There is a sign pointing to the right
000000024036,000000024036_2.png,There are cobblestone paths in the courtyard
000000045195,000000045195_2.png,A calendar hangs on the wall of the room
000000027208,000000027208_2.png,The tall building in the distance diminishes in the photo
000000051504,000000051504_2.png,The photographer holds his camera up to the left
000000067445,000000067445_2.png,A potted plant on the porch.
000000011494,000000011494_2.png,There's a guy on the road wearing a yellow helmet and a fluorescent green suit
1010470346,1010470346_2.png,There was a man riding a bicycle by the side of the road
1269844288,1269844288_2.png,There is a lot of rubbish on the lawn
000000012421,000000012421_2.png,A yellow train runs along a track.
000000074099,000000074099_2.png,A man with a car and a bike
000000019375,000000019375_2.png,There are blue Frisbees in the paper box
000000019185,000000019185_2.png,There were many cars parked along the road
000000023875,000000023875_2.png,Purple boxes of paper towels lay on the kitchen counter
000000023703,000000023703_2.png,A dog swimming in the sea.
000000029075,000000029075_2.png,There is a thatched hut on the right of the picture
000000011004,000000011004_2.png,A man fixed letters to a building
000000021212,000000021212_2.png,A man was walking down a brick alley.
000000029587,000000029587_2.png,A man is wearing a gray hat
000000048150,000000048150_2.png,The old man with white hair is sitting in a chair
000000004286,000000004286_2.png,The man walked forward with his right hand raised
000000019899,000000019899_2.png,A very big clock tower with a huge clock on it.
1029450589,1029450589_2.png,There are many pictures on the walls of the room
000000044575,000000044575_2.png,There are people playing in the tennis court
000000013943,000000013943_2.png,A red bus is running down the street
000000051168,000000051168_2.png,A car was waiting at a red light
000000048794,000000048794_2.png,People walking on the beach
000000063974,000000063974_2.png,The newspaper hung beside the counter
000000003579,000000003579_2.png,Female employees in gray dress are working in black aprons
000000012398,000000012398_2.png,There was a woman at work with headphones on
000000011034,000000011034_2.png,The water in the aquarium was dyed green by the light
000000023378,000000023378_2.png,Some elephants are standing on the prairie
000000011264,000000011264_2.png,A man and a woman are sitting on a bench
000000004527,000000004527_2.png,The runner was running across the base
000000013296,000000013296_2.png,The black car was driving down the road
000000022850,000000022850_2.png,Nearby soldiers were clapping
000000048972,000000048972_2.png,A city sidewalk area with motorcycles and trucks parked nearby.
000000045446,000000045446_2.png,Someone put up a billboard at the intersection advertising the removal of leaves.
000000011065,000000011065_2.png,A man reaching for a horse's hooves.
000000026503,000000026503_2.png,There are white lamps on the bedside table
000000001232,000000001232_2.png,A stuntman hanging from a ladder
000000004678,000000004678_2.png,A man was walking his dog by a park bench
000000025551,000000025551_2.png,"Next to the fire engine, men in red clothes held dogs"
000000046634,000000046634_2.png,There were two rhinos lying on the ground
000000028714,000000028714_2.png,Bicycles parked on the street
000000045284,000000045284_2.png,The coach sat on the railing outside the field
000000001888,000000001888_2.png,There are some apple slices and leaves on the cutting board
000000015302,000000015302_2.png,There were some spectators outside the tennis court
000000062995,000000062995_2.png,Fire engines rolled down the street
000000018584,000000018584_2.png,Two children were standing on the side of the road
000000009833,000000009833_2.png,"People walk on the road, looking down"
000000049424,000000049424_2.png,There is a red plate on the table
000000008119,000000008119_2.png,The crowd was on the grass behind the third base line
000000044644,000000044644_2.png,There is a bench at the corner of the park
000000037675,000000037675_2.png,The snow on the grass is melting
000000021926,000000021926_2.png,Some people are walking in a busy place
000000060622,000000060622_2.png,A yellow dog wags its tail
000000052516,000000052516_2.png,The groom stands on the far left holding white flowers
000000063587,000000063587_2.png,The zebra is grazing with its head down
000000059526,000000059526_2.png,Two people are ready to order
000000070321,000000070321_2.png,Cars are driving down the street
000000050434,000000050434_2.png,"Two players stood below the field, leaning against the fence"
000000044950,000000044950_2.png,There is a magazine on the desk
1222063706,1222063706_2.png,A woman on a bench was adjusting her skirt.
000000066789,000000066789_2.png,There is a man riding a bicycle on the road
000000025528,000000025528_2.png,The bowler has thrown the ball
000000003378,000000003378_2.png,A little boy on the right is blowing bubbles
000000012887,000000012887_2.png,There are two potted plants next to the sofa in the living room
000000028885,000000028885_2.png,People are walking on the sidewalk
000000021571,000000021571_2.png,Gray cars were parked in the courtyard
000000034223,000000034223_2.png,Two robot dogs are playing football
000000009800,000000009800_2.png,A group of people are discussing in the corner of the picture
000000014484,000000014484_2.png,There is a red and white telephone booth by the roadside
000000029607,000000029607_2.png,There are many pictures on the wall
000000035322,000000035322_2.png,A man in blue on a bicycle.
000000002754,000000002754_2.png,The woman in blue is driving
000000023199,000000023199_2.png,There are many gazelles in the grass
000000043960,000000043960_2.png,There were several people sitting on chairs on the lawn
000000056724,000000056724_2.png,A hamburger joint has opened on the street
000000009409,000000009409_2.png,On the right is a flag that has been raised
000000015663,000000015663_2.png,A man is standing in front of the bus.
000000069286,000000069286_2.png,The cyclist was carrying a red crate
000000015289,000000015289_2.png,There is a tall building in the distance
000000043411,000000043411_2.png,People in black clothes and carrying blue bags walk down the street
000000014635,000000014635_2.png,The old man in the white coat was cooking in the kitchen
000000013948,000000013948_2.png,"A zebra was standing on the road, cocking its head"
000000066373,000000066373_2.png,There was a pile of wires on the floor between the table and the table.
000000014470,000000014470_2.png,A woman is taking pictures
000000051278,000000051278_2.png,A red four-door truck pulled up to a sign on the side of the road
000000024086,000000024086_2.png,The bookcase in the room is full of books
000000044946,000000044946_2.png,There's pizza and wine on the table
000000011826,000000011826_2.png,The audience stood under the eaves
000000010701,000000010701_2.png,Spectators in green cars
000000066056,000000066056_2.png,There is a white pot on the table
000000010639,000000010639_2.png,Parents sat on benches outside the wire
000000067259,000000067259_2.png,People are looking at the travel map.
000000048971,000000048971_2.png,Several old people sat on chairs to rest
000000061159,000000061159_2.png,The red car is going this way
000000044341,000000044341_2.png,The red car was parked on the side of the road
000000048759,000000048759_2.png,A man in yellow is crossing the road
1000268201,1000268201_2.png,Pink flowers covered the side of the house
000000013283,000000013283_2.png,There are many kitchen utensils on the table
000000046526,000000046526_2.png,Three tourists are walking on the road
000000030643,000000030643_2.png,A bike with a tarp
000000056432,000000056432_2.png,A man is standing at the crossroads
000000020853,000000020853_2.png,"Two men are playing drums. One of them is dressed in white, the other in black"
000000040515,000000040515_2.png,The man in nothing but speedos held out his hand
000000021423,000000021423_2.png,There are some potted plants on the roadside. There are white flowers and red flowers in them
000000010689,000000010689_2.png,A boat was sailing on the water.
000000051342,000000051342_2.png,A bicycle was parked on the side of the road
000000009999,000000009999_2.png,There is a black trash can by the side of the road
000000019374,000000019374_2.png,There is a tomato on the window
000000004331,000000004331_2.png,A woman held up a bicycle
000000045026,000000045026_2.png,There are many cars parked on the roadside
000000003685,000000003685_2.png,A cluttered room full of bookshelves.
000000021051,000000021051_2.png,The ship bears the symbol of a hexagram
000000018802,000000018802_2.png,A dog sits in the doorway
000000062173,000000062173_2.png,There are three vending machines on the left
000000010192,000000010192_2.png,There is a plate of bread on the table
000000047263,000000047263_2.png,A little dog is running on the grass
000000059455,000000059455_2.png,The man in red is sitting on the ground
000000064870,000000064870_2.png,A man in a McDonald's logo sat on the curb
000000045165,000000045165_2.png,There is a Coca Cola shop on the street
1088767354,1088767354_2.png,The man in pink pants is looking at his watch
000000044372,000000044372_2.png,There is a set of computers on the desk
000000020904,000000020904_2.png,There's something hanging from the wire
000000012240,000000012240_2.png,Two men on bicycles
000000022256,000000022256_2.png,There was a bowl of fruit on the kitchen bar
1059514525,1059514525_2.png,There are people sleeping on benches in city streets.
000000012283,000000012283_2.png,A horse is crossing the road.
000000020777,000000020777_2.png,A fireman stood at the top of the ladder
000000010275,000000010275_2.png,The umbrella bearer is walking in the rain
000000011209,000000011209_2.png,There is a laptop on the desk
000000011326,000000011326_2.png,People are sitting on benches to the right
000000044810,000000044810_2.png,There is a big stone on the ground
000000060093,000000060093_2.png,A car on a road near a traffic light.
1193746118,1193746118_2.png,There were three children and a woman on the bridge
132717787,132717787_2.png,Two cooks in black hats are working
1303157527,1303157527_2.png,A black woman was walking down the street
000000024260,000000024260_2.png,The audience stood outside the wooden railings
1018148011,1018148011_2.png,"Most of the workers were on the bus, but one man was standing on the ground"
000000012711,000000012711_2.png,There are two potted plants on the ground
000000024689,000000024689_2.png,Mother sat at the table wearing dark glasses
000000010613,000000010613_2.png,A man with a camera
000000032456,000000032456_2.png,A giraffe and a zebra are standing near a tree
000000050161,000000050161_2.png,There are many cars parked beside the street
000000034151,000000034151_2.png,There are some bottles of beer on the table
000000026517,000000026517_2.png,Three sheep are grazing in the meadow
000000010058,000000010058_2.png,In the distance is the Golden Gate Bridge.
000000012805,000000012805_2.png,A bird is standing on the refrigerator door
000000010318,000000010318_2.png,There are many cars in the parking space by the water
000000043513,000000043513_2.png,Many bikes are parked on the side of the road
000000026913,000000026913_2.png,The waitress is pouring drinks
000000020315,000000020315_2.png,Several people sat on a bench talking
1018057225,1018057225_2.png,A boy was pushing a miniature car on the lawn.
000000023162,000000023162_2.png,A sheepdog was lying on the grass.
000000015110,000000015110_2.png,There are brown street signs and blue street signs
000000009941,000000009941_2.png,There is a blue sign by the side of the road
000000013463,000000013463_2.png,There is a white toilet in the bathroom.
000000044045,000000044045_2.png,There is a one way sign on the roadside
134857559,134857559_2.png,The bar chandelier was dull
1053243591,1053243591_2.png,A man in a white shirt was sitting in the car
000000023879,000000023879_2.png,Two men on an electric bike pulled up to the side of the road
133087820,133087820_2.png,There is a dark green statue in the street
134867998,134867998_2.png,The supermarket's shelves are almost entirely filled with drinks
000000021981,000000021981_2.png,A scooter parked on the side of the road.
000000001554,000000001554_2.png,People stood outside the railings
000000003590,000000003590_2.png,A man peeked out the window in the light rain
000000064800,000000064800_2.png,Many cars are parked along the road
000000049553,000000049553_2.png,Cars lined up to approach the toll booth.
1032122270,1032122270_2.png,A man in black was squatting on the grass
000000026304,000000026304_2.png,Two men held their phones above their heads to photograph the cherry blossoms
000000013455,000000013455_2.png,A boy rides a sheep in the arena.
000000048066,000000048066_2.png,There is a small football gate inside the stadium
000000050462,000000050462_2.png,The train passes to the left of the picture
