image_number,img_path,text
000000002822,000000002822_1.png,"Above a stop sign, the sky was cloudy."
000000012947,000000012947_1.png,One man climbed onto the train while the other watched him
000000022621,000000022621_1.png,The kitchen cabinets are blue and there are many plants on the table
000000016961,000000016961_1.png,A guy on a skateboard with two barricades behind him
000000022411,000000022411_1.png,Students are eating pizza with lots of books behind them
1057089366,1057089366_1.png,People at the edge of the pool watched the child jump from the height
1071201387,1071201387_1.png,A construction worker holds a sign about biking and behind him two men sit on the ground
000000056641,000000056641_1.png,A no stop sign next to a car running on the street.
000000005124,000000005124_1.png,Two people are kicking a ball around with two spectators
000000050956,000000050956_1.png,A beautiful house is in front of a reflecting pool. A man is standing on the edge of the pool.
000000019489,000000019489_1.png,There was a woman filming the handshake scene
000000065400,000000065400_1.png,A fruit shop selling bananas and oranges
000000021750,000000021750_1.png,A little girl was eating a doughnut with a glass of juice in front of her
000000037671,000000037671_1.png,The little boy was playing baseball. There were two coaches outside
000000061951,000000061951_1.png,A man is shopping with a speeding motorcycle behind him
000000001306,000000001306_1.png,"A room with a TV, a table, a bar and floor-to-ceiling Windows"
000000010545,000000010545_1.png,Several buses were parked on the street near the Starbucks.
000000061897,000000061897_1.png,A man rides a bicycle past construction workers on a busy street.
000000016038,000000016038_1.png,"Two men stand in front of the train to say goodbye, a boy and a bicycle ready to board"
000000044471,000000044471_1.png,A red light and some people are walking in the street
000000020979,000000020979_1.png,A blue and white bus stopped in front of a motorbike.
000000045785,000000045785_1.png,A man carrying an umbrella was walking by a dog on the sidewalk.
000000022180,000000022180_1.png,A small stuffed bear sits on a tricycle and the family watches it.
000000011569,000000011569_1.png,A pink bus was parked on the side of the road and the red bus was going in a different direction
000000010037,000000010037_1.png,There are doughnuts and oranges on the table
000000017882,000000017882_1.png,Bikes were parked next to the car.
135515207,135515207_1.png,Three men were working in the yard. Behind them was a silver car
000000032060,000000032060_1.png,A horse-drawn carriage passed some parked tractors.
000000049037,000000049037_1.png,"There are many colorful pillows on the sofa, and there is a vase with roses beside it"
000000067956,000000067956_1.png,A blue car turned right at the stop sign.
000000007159,000000007159_1.png,Some people were skiing and three people were taking pictures
000000044437,000000044437_1.png,Two baseball players were talking and another was running down the field
000000043510,000000043510_1.png,Two baseball players played with bats and gloves while their players stood outside the railing
