image_number,img_path,text
000000019499,000000019499.png,Several cyclists stopped and looked at an overturned car.
000000000077,000000000077.png,A time lapse image of a guy on a skate board.
000000050054,000000050054.png,"The man was holding a water cup, and behind him was a cow kneeling on the grass."
000000016418,000000016418.png,"A large passenger airplane stands at the gate, near cargo vehicles."
000000013944,000000013944.png,A street scene with workers fixing the traffic light. 
000000017708,000000017708.png,A gull on a rocky ledge overlooks three boats on a very blue waterway. 
1019077836,1019077836.png,A brown dog chases the water from a sprinkler on a lawn .
000000019755,000000019755.png,A baby cow with a red ear tag.
102268204,102268204.png,police questioning the driver of a black wagon at nighttime .
000000036041,000000036041.png,"A couple is sitting on a motorcycle looking at the sky, with two people in front of them going to fly a kite"
000000012408,000000012408.png,A white duck boat is drifting in the water. 
000000010077,000000010077.png,a zebra standing in a field in under the shade of a near by tree
000000007125,000000007125.png,There were people walking and biking on a path near the water
000000002154,000000002154.png,A full grocery cart sitting on the side of a road.
000000021222,000000021222.png,A row of parked buses in a parking lot.
000000003442,000000003442.png,A hotel room with three lights and a TV
1021439420,1021439420.png,"two guys sitting on the floor , with the guy in the green jacket reading a piece of paper ."
000000020839,000000020839.png,"A street with many traffic lights, cars and buildings around."
000000045844,000000045844.png,Young boys with tennis rackets were playing ball in the square.
000000022154,000000022154.png,a man holding a colorful umbrella on top of a car.
000000001431,000000001431.png,A boy on a skateboard in the skate park 
000000003837,000000003837.png,A guy watches a girl getting on her surfboard.
000000019448,000000019448.png,A woman looks into a refrigerator that is mounted on a wall.
1030041880,1030041880.png,A woman in a green skirt and white tank top singing into a microphone .
000000045594,000000045594.png,A white truck driving on top of a street.
000000044998,000000044998.png,There is a piece of paper on a computer keyboard.
000000002985,000000002985.png,A truck carrying an elephant in the back
000000012946,000000012946.png,A man rides a motorcycle on the sidewalk.
000000004219,000000004219.png,A man and his dog sitting on a bench
000000010710,000000010710.png,"Three men stood on the field, staring in the same direction."
000000012093,000000012093.png,two people are riding elephants down the street
000000011791,000000011791.png,Four people posing in front of an elephant with the trunk up
000000011613,000000011613.png,Skiers are racing in a cross country competition. 
000000017938,000000017938.png,A group of skateboarders skating down a empty sidewalk.
000000019712,000000019712.png,A man taking a photo of the sky amongst his happy family
