image,text,
71,A passenger train glides around a curve on the outer track.,
77,A time lapse image of a guy on a skate board.,
165,A woman soldier holding up a pair of giant scissors to someone's tie.,
263,Adult elephant pushing a baby elephant with its leg.,
312,A large group of elephants crossing a dirt path.,
338,Two people looking at a large kitchen ,
349,An old train drives on the tracks under a bridge. ,
400,Dog forlornly looking out the back of a twin-hulled boat.,
490,Dog and skateboard in a room and shadow of dog and person on a wall.,
510,A man sits on a bench with a man-made waterfall behind him. ,
520,Birds flock over a dock above a body of water.,
781,A person that is wind surfing in the water.,
908,A kitchen with art and a menu hanging on the wall,
939,"Small bathroom with a mirror, double sink, and a mounted television. ",
999,A young man kneeling on top of a base.,
1011,People are walking along a sidewalk with their luggage.,
1053,A group of bicycle riders crossing a paved street.,
1144,a sandwich on a plate next to a glass of wine on a table,
1149,A group of military men and men in suits observe examples of missiles.,
1244,The man is sitting on a chair under the umbrella by the water. ,
1323,a cat stands on top of a horse ,
1424,little girls sitting at a table with a birthday cake in the middle ,
1431,A boy on a skateboard in the skate park ,
1436,A young man lieing down with three apple computers on his chest.,
1453,A few people are on small boats in a channel.,
1518,A piece of broccoli is on the car's dashboard.,
1580,People who are dressed for skiing standing in the snow.,
1682,A boat in the distance on a clear lake.,
1911,Dogs are pulling a person on a sled in the snow.,
1999,A cat on a bed looking over two pieces of luggage. ,
2083,There are two Girls one of them is washing the dishes.,
2089,A double decker bus in front of an unusual building,
2142,a person sitting on a bench and feeding birds ,
2154,A full grocery cart sitting on the side of a road.,
2164,A group of sheep graze in a lush grass field.,
2498,A group of four people play frisbee on the beach.,
2842,A tennis player reaches out to another one.,
2972,a red train is passing by a white one at a station,
2985,A truck carrying an elephant in the back,
3249,White bird perched on a window looking inside. ,
3320,Three people walking onto a boat holding luggage.,
3382,Seamen inside a navy vessel communicate over the radio.,
3442,A hotel room with three lights and a TV,
3481,The black bear is over by the trees and the swingset.,
3532,Two girls who are standing next to each other on a baseball field. ,
3535,there is a construction working fixing a street sign,
3602,a sign and a flag on a pole outside,
3823,a desk with a laptop and a desktop on it,
3837,A guy watches a girl getting on her surfboard.,
3915,A woman standing in a kitchen with a counter full of dishes,
3932,A small lamb with a blue rope tied around its head. ,
4180,Two kids are having lunch in the classroom,
4212,A cat is laying on the hood of a blue car.,
4219,A man and his dog sitting on a bench,
4244,some chefs working in a restaurant kitchen ,
4376,At the end of the street there was a man sitting at a table of bananas,
5614,A group of people on a field playing baseball.,
7124,There is a police officer writing a ticket for a truck.,
7125,There were people walking and biking on a path near the water,
7710,a person riding a bike with two horses walking behind him,
8965,The cow is rushing towards a moving car.,
9045,"Three men stood on the pitch, waiting for the opposite side to pitch.",
9372,A newly married couple walking down church steps.,
9488,"A group sits in fold up chairs on the blacktop, surrounded by their gear.",
10005,Two people walking with surf boards and two dogs.,
10014,A blue and white bus labeled subway shuttle,
10040,A group of soldiers standing next to a bench.,
10041,Three skiers are skiing on a snowy mountain.,
10056,A white and red bus on a street,
10077,a zebra standing in a field in under the shade of a near by tree,
10138,A man blows out the candles on his cake.,
10222,A red traffic light with a green arrow sign underneath.,
10276,"Two dogs were standing on the grass, with a horse behind them.",
10405,A boat is sailing on the river. There are many tall buildings on both sides of the river.,
10434,"Beside the road where there were cars, there was a man on a skateboard",
10472,A group of people are standing on an elephant themed parade float.,
10498,Two men standing on front of a machine.,
10539,The sheep are on the steep rocky hill side.,
10710,"Three men stood on the field, staring in the same direction.",
