,name,prompt,score
0,AttnGAN_normal_000.jpg,statue of a man,-1.200088501
1,AttnGAN_normal_001.jpg,a tray of sushi,-6.94537878
2,AttnGAN_normal_002.jpg,man lost in space,-3.661697388
3,AttnGAN_normal_003.jpg,a cosmic universe,-6.611577034
4,AttnGAN_normal_004.jpg,red and blue armor,-7.082661152
5,AttnGAN_normal_005.jpg,house of the dragon,-5.797170639
6,AttnGAN_normal_006.jpg,a river in a forest,-5.899431705
7,AttnGAN_normal_007.jpg,a cat doing karaoke,-4.849058151
8,AttnGAN_normal_008.jpg,joe biden very happy,-6.526234627
9,AttnGAN_normal_009.jpg,girl from fight club,-6.326748371
10,AttnGAN_normal_010.jpg,face shot of a woman,-7.511984825
11,AttnGAN_normal_011.jpg,the prince of the sun,-7.160680771
12,AttnGAN_normal_012.jpg,life bar and mana bar,-7.043423653
13,AttnGAN_normal_013.jpg,everything is a dream,-3.394681931
14,AttnGAN_normal_014.jpg,a small leopard gecko,-6.991143703
15,AttnGAN_normal_015.jpg,santa claus on drugs,-4.11513567
16,AttnGAN_normal_016.jpg,very sad rabbit crying,-7.03246069
17,AttnGAN_normal_017.jpg,tragedy of the commons,-5.715043545
18,AttnGAN_normal_018.jpg,man hating his printer,-4.484466076
19,AttnGAN_normal_019.jpg,big boss eating dinner,-7.05640316
20,AttnGAN_normal_020.jpg,a overgrown old house,-5.848845005
21,AttnGAN_normal_021.jpg,portrait of mecha robot,-7.43508625
22,AttnGAN_normal_022.jpg,panda chef in a kitchen,-6.935661316
23,AttnGAN_normal_023.jpg,king kong on fighting,-4.846526146
24,AttnGAN_normal_024.jpg,goddess of mystic unity,-4.67305088
25,AttnGAN_normal_025.jpg,a still of breaking bad,0.42426309
26,AttnGAN_normal_026.jpg,a painting of a eclipse,-2.943706512
27,AttnGAN_normal_027.jpg,the large cresting waves,-6.746547699
28,AttnGAN_normal_028.jpg,maroon to black gradient,-6.785796642
29,AttnGAN_normal_029.jpg,legendary river of slugs,-3.340062857
30,AttnGAN_normal_030.jpg,brand logo fruit company,-6.118391514
31,AttnGAN_normal_031.jpg,black mickey mouse skull,-0.899134815
32,AttnGAN_normal_032.jpg,an emo portrait painting,0.271642327
33,AttnGAN_normal_033.jpg,the pope had a rock band,-7.191513062
34,AttnGAN_normal_034.jpg,rat portrait as a warrior,-7.274334431
35,AttnGAN_normal_035.jpg,illustration of a rowboat,-7.484840393
36,AttnGAN_normal_036.jpg,gnome warfare at walmart,-6.898712158
37,AttnGAN_normal_037.jpg,demon queen with red eyes,1.942742229
38,AttnGAN_normal_038.jpg,christmas at kelly family,-6.736509323
39,AttnGAN_normal_039.jpg,beautiful topaz girl dark,-6.641129494
40,AttnGAN_normal_040.jpg,an elaborate robot coding,1.626558185
41,AttnGAN_normal_041.jpg,a raspberry made of metal,-4.356296539
42,AttnGAN_normal_042.jpg,a man jumping off a cliff,-7.336143017
43,AttnGAN_normal_043.jpg,a frog wearing police cap,-6.65565443
44,AttnGAN_normal_044.jpg,male warrior silver armor,-6.775956631
45,AttnGAN_normal_045.jpg,superman punches the pope,-6.5411129
46,AttnGAN_normal_046.jpg,the drowned and the saved,-3.290827274
47,AttnGAN_normal_047.jpg,stalin tapdancing on stage,-6.101317883
48,AttnGAN_normal_048.jpg,scottish highlands at dawn,-6.414064884
49,AttnGAN_normal_049.jpg,portrait of evil alchemist,-7.041169643
50,AttnGAN_normal_050.jpg,logo design of a full moon,-7.359855175
51,AttnGAN_normal_051.jpg,hanging gardens of babylon,-7.171940327
52,AttnGAN_normal_052.jpg,concept art of giant ogres,0.040322818
53,AttnGAN_normal_053.jpg,castle from howl's sticker,-5.430669785
54,AttnGAN_normal_054.jpg,beautiful white fluffy cat,-6.264202595
55,AttnGAN_normal_055.jpg,a small ocean full of life,-6.028476715
56,AttnGAN_normal_056.jpg,survival in a winter forest,-0.769068658
57,AttnGAN_normal_057.jpg,sartre hugging a sad alien,-6.495381832
58,AttnGAN_normal_058.jpg,hairy man in eagle costume,-7.209767818
59,AttnGAN_normal_059.jpg,barak obama as master chief,-7.119471073
60,AttnGAN_normal_060.jpg,"artwork with only triangles, anime style",2.083671093
61,AttnGAN_normal_061.jpg,"a yellow rendition of venom, sci-fi style",2.069231272
62,AttnGAN_normal_062.jpg,"a colour portrait of a king, realistic style",-7.158073425
63,AttnGAN_normal_063.jpg,"overwatch small hut building, abstract style",-6.958511353
64,AttnGAN_normal_064.jpg,"monsters playing board games, baroque style",-7.331314087
65,AttnGAN_normal_065.jpg,"an environmental concept art, anime style",-5.952062607
66,AttnGAN_normal_066.jpg,"a pizza with chocolate on it, sci-fi style",-7.187728882
67,AttnGAN_normal_067.jpg,"a woman in newspaper clothes, realistic style",-7.08328104
68,AttnGAN_normal_068.jpg,"yog sothoth chef in a kitchen, abstract style",-6.43595314
69,AttnGAN_normal_069.jpg,"synthwave astronaut tabby cat, baroque style",-7.21161747
70,AttnGAN_normal_070.jpg,"space reflected in fox's eye , anime style",-6.994026661
71,AttnGAN_normal_071.jpg,"smart sri lanka buddhist monk, sci-fi style",-3.248491764
72,AttnGAN_normal_072.jpg,"painted portrait of snake man, realistic style",-7.317887783
73,AttnGAN_normal_073.jpg,"otter making a disgusted face, abstract style",-7.463152885
74,AttnGAN_normal_074.jpg,"legionary of the roman empire, baroque style",-7.092419624
75,AttnGAN_normal_075.jpg,"concept art of octopus attack, anime style",-5.686378956
76,AttnGAN_normal_076.jpg,"a biomechanical dahlia flower, sci-fi style",-6.765017509
77,AttnGAN_normal_077.jpg,"a anthropomorphic cat warrior, realistic style",-7.095880032
78,AttnGAN_normal_078.jpg,"tree of life embroidered scene, abstract style",-7.259585857
79,AttnGAN_normal_079.jpg,"the infernal dark gun magicks , baroque style",-4.569502354
80,AttnGAN_normal_080.jpg,"painted portrait of goblin man, anime style",-7.108350754
81,AttnGAN_normal_081.jpg,"large purple lovecraftian void, sci-fi style",-5.911392212
82,AttnGAN_normal_082.jpg,"lanky young half - orc warrior, realistic style",-7.660740376
83,AttnGAN_normal_083.jpg,"eiffel tower drenched in blood, abstract style",-6.397875309
84,AttnGAN_normal_084.jpg,"sheep that looks like broccoli, baroque style",-6.938733578
85,AttnGAN_normal_085.jpg,"grumpy minions sitting in a bar, anime style",-6.528825283
86,AttnGAN_normal_086.jpg,"a very drunk person named aaron, sci-fi style",-6.279660702
87,AttnGAN_normal_087.jpg,"a tonalism portrait of a ghost , realistic style",-5.208986282
88,AttnGAN_normal_088.jpg,"a space shuttle flying in space, abstract style",-5.873041153
89,AttnGAN_normal_089.jpg,"a crocodile in a new york sewer, baroque style",-5.143877506
90,AttnGAN_normal_090.jpg,"little girl with a mushroom hat, anime style",-7.46166563
91,AttnGAN_normal_091.jpg,"ufo ignoring the laws of phyics, sci-fi style",-4.672297001
92,AttnGAN_normal_092.jpg,"steampunk walter white portrait , realistic style",-6.263271332
93,AttnGAN_normal_093.jpg,"photo of tony danza eating chili, abstract style",-7.491601467
