image_number,img_path,text
000000002822,000000002822_3.png,Dark clouds spread across the sky
000000012947,000000012947_3.png,The man in blue is getting on the train
000000022621,000000022621_3.png,There are blue cabinets in the kitchen
000000016961,000000016961_3.png,A man with a board was pushed by a stick.
000000022411,000000022411_3.png,Some students or friends are eating pizza in the library
1057089366,1057089366_3.png,A child jumped from a height in a swimming pool.
1071201387,1071201387_3.png,A construction worker holds a sign about biking.
000000056641,000000056641_3.png, A city street with no parking signs on posts
000000005124,000000005124_3.png,A football player who tries to score.
000000050956,000000050956_3.png,A luxurious house in front of the reflecting pool.
000000019489,000000019489_3.png,A man with a microphone shakes hands with another man.
000000065400,000000065400_3.png,Many bananas are hanging in the air
000000021750,000000021750_3.png,A little girl is eating a donut
000000037671,000000037671_3.png,Two little boys are playing baseball
000000061951,000000061951_3.png,People were standing or riding mopeds in the alleys.
000000001306,000000001306_3.png,"A table with chairs, a counter with stools and a big window"
000000010545,000000010545_3.png,A large bus that runs on city streets
000000061897,000000061897_3.png,A man is riding his bicycle in the city center.
000000016038,000000016038_3.png,A woman says goodbye to a man before loading her car.
000000044471,000000044471_3.png,"This sign has a hand on it, which means stop or don't go."
000000020979,000000020979_3.png,A blue bus stopped at the side of the road
000000045785,000000045785_3.png,People walking in the street with umbrellas
000000022180,000000022180_3.png,A teddy bear sits on a bicycle in the living room
000000011569,000000011569_3.png,A pink bus stopped at the side of the road
000000010037,000000010037_3.png,A close-up of a plate of doughnuts
000000017882,000000017882_3.png,Two cars stopped at the side of the road
135515207,135515207_3.png,A man in a camouflage shirt was mowing grass in a small yard. Another man and a woman were also working in the yard.
000000032060,000000032060_3.png,A carriage was driving down the street
000000049037,000000049037_3.png,The elegantly decorated living room has pillows on blue and white sofas and a small Ottoman in the foreground.
000000067956,000000067956_3.png,A blue car turned right at the crossing.
000000007159,000000007159_3.png,Two skiers watch another skier coming down the hill.
000000044437,000000044437_3.png,Two baseball players are talking
000000043510,000000043510_3.png,Two baseball players play the ball with a bat and glove
000000014285,000000014285_3.png,A long-haired cat was lying on a white bed
000000020001,000000020001_3.png,The man in yellow throws the ball
000000072519,000000072519_3.png,"On the ferry, a man was reaching for a chair."
000000014740,000000014740_3.png,Fire hydrant with hose connection
000000018059,000000018059_3.png,A man rides an electric skateboard
000000002614,000000002614_3.png,Two men were playing Frisbee by the water.
000000018654,000000018654_3.png,A cowboy who fell to the ground during a rodeo
000000022275,000000022275_3.png,A woman sits at a wooden table next to a white cat.
000000013720,000000013720_3.png,There is a bottle of milk on the table
000000063347,000000063347_3.png,A man was kneeling on the floor next to a young boy.
000000065601,000000065601_3.png,A wallet with cash in it.
000000005620,000000005620_3.png,A red bus was driving down the street beside a crowd of people.
000000013671,000000013671_3.png,A weather-beaten barn in the valley.
000000050481,000000050481_3.png,A creepy Spinks statue
000000046099,000000046099_3.png,A stop sign that looks like it's made out of crumpled paper.
000000026260,000000026260_3.png,Young beauties with tattoos prepare food in the kitchen.
000000047164,000000047164_3.png,The man in the hat looked to his left. What was he looking for in his pocket
000000014388,000000014388_3.png,A man in a white coat was waiting at the traffic light
133684581,133684581_3.png,A Scottish band was rehearsing
000000069978,000000069978_3.png,The bus stopped at the side of the road.
000000056109,000000056109_3.png,A bus parked on the street
000000048388,000000048388_3.png,A man flies a kite on the beach
000000019447,000000019447_3.png,Two adult giraffes are in the grass
000000075775,000000075775_3.png,The little girl was holding the ball in her hands. Two adults were watching her
000000023793,000000023793_3.png,Children stood outside the yellow school bus waiting to board
000000058137,000000058137_3.png,A train stopped on the tracks
000000009275,000000009275_3.png,There is a big blue cooler on the right
000000016616,000000016616_3.png,A woman rides her bike to and from work during rush hour.
000000024305,000000024305_3.png,The bride and groom cut a small cake at an outdoor wedding.
000000044911,000000044911_3.png,There is a big dark blue oven in the kitchen
000000066460,000000066460_3.png,A white bus is turning the corner
000000057005,000000057005_3.png,The motorcycle was leaning against the building.
000000044839,000000044839_3.png,Three young girls are sitting at a table eating cake.
000000047742,000000047742_3.png,Two women dressed as zombies at a bus stop
000000019456,000000019456_3.png,A man prepares food at a table in the kitchen.
000000003899,000000003899_3.png,There were framed pictures on the kitchen wall
1242394484,1242394484_3.png,There are many panda dolls on the cupboard
000000012706,000000012706_3.png,The Eiffel Tower shows off all its grandeur.
000000016706,000000016706_3.png,Two giraffes were eating by a tree.
000000021786,000000021786_3.png,The woman in the safety vest is on the phone.
000000020044,000000020044_3.png,The two women stood smiling together on the hill
000000047563,000000047563_3.png,An orange cat looks into the camera
000000046563,000000046563_3.png,There are four signs beside the street
000000015644,000000015644_3.png,A woman sits in front of her laptop.
135436842,135436842_3.png,A man in a wheelchair gets on the subway with the help of a service worker.
000000013325,000000013325_3.png,Flowers grow in front of the welcome sign.
000000035456,000000035456_3.png,"A person on a mobile phone, holding his hand against his stomach."
000000032124,000000032124_3.png,A woman sat on the curb with her backpack at her feet.
1281282435,1281282435_3.png,Three boys in bathing suits stood on the dock
000000023255,000000023255_3.png,Fire hydrants near bodies of water.
000000021717,000000021717_3.png,One man wore a birthday cake hat and held a cell phone.
000000016905,000000016905_3.png,Several men rode on the elephant's back.
000000022014,000000022014_3.png,There are chairs of different colors in this living room
000000016243,000000016243_3.png,A cake on a metal plate.
000000022287,000000022287_3.png,A giraffe munches on food from a feeder
000000026438,000000026438_3.png,The little yellow train on the track.
000000021889,000000021889_3.png,This is a big ship with a lot of people on board
000000018425,000000018425_3.png,The giraffe eats grass with its head down
000000067407,000000067407_3.png,There is a bell tower at the top of a large building.
000000010211,000000010211_3.png,Three giraffes are standing on the grass.
000000060034,000000060034_3.png,There is a white fire hydrant on the street
000000007621,000000007621_3.png,The cow is sitting on the beach.
000000023405,000000023405_3.png,Stop signs written in foreign languages
000000003220,000000003220_3.png,The players are throwing the ball
000000003493,000000003493_3.png,A pile of signs written in non-English lines the street
000000011402,000000011402_3.png,The city center is a lush green field.
000000064048,000000064048_3.png,A huge rock formation on top of a mountain.
000000043305,000000043305_3.png,A baseball player jumped at a base in midair.
000000025433,000000025433_3.png,The tour bus was parked on the side of the road
000000045084,000000045084_3.png,Two men were walking with suitcases
000000015070,000000015070_3.png,There are two cats in the house
1094283901,1094283901_3.png,A man is jumping into the water.
000000014502,000000014502_3.png,A man who swings a baseball bat.
000000021711,000000021711_3.png,A group of motorcyclists on a wasteland.
1287704027,1287704027_3.png,A woman looks at frozen fish at a fish market.
000000023298,000000023298_3.png,A man rides a stationary bike indoors.
000000012673,000000012673_3.png,A cat is lying on the bed.
1130295306,1130295306_3.png,The trees near the pond in the park are flourishing
000000006226,000000006226_3.png,A train coming into the station on a cloudy day
000000062740,000000062740_3.png,The clock in the middle of the town square.
000000022213,000000022213_3.png,A group of people were disembarking from the boat
000000055223,000000055223_3.png,The man is playing a game with a controller
000000000109,000000000109_3.png,A skate park next to a body of water and green park.
000000019446,000000019446_3.png,The woman in red ran to catch the frisbee on the grass.
000000016575,000000016575_3.png,A zebra is lying on the ground
000000069266,000000069266_3.png,A laptop is on the desk.
000000022671,000000022671_3.png,A man was sitting on a motorcycle at an intersection.
000000009446,000000009446_3.png,There was a man sitting on a bench on the beach boardwalk.
000000011340,000000011340_3.png,The figure of an elephant with decorated tusks and legs
000000012993,000000012993_3.png,A bus drove over a large puddle.
000000046149,000000046149_3.png,Some people were carried by beautifully decorated elephants.
000000047125,000000047125_3.png,A little boy is playing skateboard
